TEAM_ID,TEAM_NAME,TEAM_CODE,COUNTRY,COMPETITION,REGION,ESTABLISHED_DATE,STATUS
T001,Chennai Super Kings,CSK,India,IPL,SOUTH,2008-01-01,ACTIVE
T002,Mumbai Indians,MI,India,IPL,WEST,2008-01-01,ACTIVE
T003,Royal Challengers Bengaluru,RCB,India,IPL,SOUTH,2008-01-01,ACTIVE
T004,Kolkata Knight Riders,KKR,India,IPL,EAST,2008-01-01,ACTIVE
T005,Delhi Capitals,DC,India,IPL,NORTH,2008-01-01,ACTIVE
T006,Rajasthan Royals,RR,India,IPL,NORTH,2008-01-01,ACTIVE
T007,Sunrisers Hyderabad,SRH,India,IPL,SOUTH,2013-01-01,ACTIVE
T008,Punjab Kings,PBKS,India,IPL,NORTH,2008-01-01,ACTIVE
T009,Gujarat Titans,GT,India,IPL,WEST,2022-01-01,ACTIVE
T010,Lucknow Super Giants,LSG,India,IPL,NORTH,2022-01-01,ACTIVE
T011,India,IND,India,International,SOUTH ASIA,1932-01-01,ACTIVE
T012,Australia,AUS,Australia,International,OCEANIA,1877-01-01,ACTIVE
T013,England,ENG,England,International,EUROPE,1877-01-01,ACTIVE
T014,South Africa,SA,South Africa,International,AFRICA,1889-01-01,ACTIVE
T015,New Zealand,NZ,New Zealand,International,OCEANIA,1930-01-01,ACTIVE
